Model,Accuracy,F1-Score
LR+GloVe,53.4,33.2
KNN+GloVe,53.7,34.7
SVC+GloVe,56.1,34.4
RandomForest+GloVe,61.2,22.9
XGBoost+GloVe,53.0,36.4
NeuralNetwork+GloVe,52.5,37.8
LR+Word2Vec,59.0,40.7
KNN+Word2Vec,55.5,40.0
SVC+Word2Vec,59.3,39.2
RandomForest + Word2Vec,62.9,29.9
XGBoost+Word2Vec,56.3,38.2
NeuralNetwork+Word2Vec,60.1,40.0
LR+BERT,52.8,34.6
KNN+BERT,53.1,35.7
SVC+BERT,50.4,33.0
RandomForest+BERT,57.9,22.4
XGBoost+BERT,52.3,34.8
NeuralNetwork+BERT,59.6,17.9
LR+RoBERTa,51.9,38.0
KNN+RoBERTa,52.8,38.2
SVC+RoBERTa,52.9,36.0
RandomForest+RoBERTa,61.4,19.7
XGBoost+RoBERTa,53.9,36.2
NeuralNetwork+RoBERTa,62.5,9.5
LR+GPT2,55.2,37.6
KNN+GPT2,48.5,46.6
SVC+GPT2,55.6,35.7
RandomForest+GPT2,58.2,17.2
XGBoost+GPT2,52.6,35.9
NeuralNetwork+GPT2,56.4,29.0
